iata,name,city,state,country
OLD,Dewitt Field/Old Town Municipal Airport,Old Town,Maine,US
OLE,Cattaraugus County-Olean Airport,Olean,New York,US
OLF,L M Clayton Airport,Wolf Point,Montana,US
OLM,Olympia Regional Airport,Olympia,Washington,US
OLS,Nogales International Airport,Nogales,Arizona,US
OLU,Columbus Municipal Airport,Columbus,Nebraska,US
OLV,Olive Branch/Taylor Field,Olive Branch,Mississippi,US
OLY,Olney-Noble Airport,Olney-Noble,Illinois,US
OMA,Eppley Airfield,Omaha,Nebraska,US
OMK,Omak Airport,Omak,Washington,US
ONA,Winona Municipal-Max Conrad Field,Winona,Minnesota,US
ONL,The O'Neill Municipal-John L Baker Field,O'Neill,Nebraska,US
ONM,Socorro Municipal Airport,Socorro,New Mexico,US
ONO,Ontario Municipal Airport,Ontario,Oregon,US
ONP,Newport Municipal Airport,Newport,Oregon,US
ONT,Ontario International Airport,Ontario,California,US
ONY,Olney Municipal Airport,Olney,Texas,US
OOA,Oskaloosa Municipal Airport,Oskaloosa,Iowa,US
OPF,Miami-Opa Locka Executive Airport,Miami,Florida,US
OPL,St Landry Parish Airport,Opelousas,Louisiana,US
NCO,Quonset State Airport,North Kingstown,Rhode Island,US
ORD,Chicago O'Hare International Airport,Chicago,Illinois,US
ORF,Norfolk International Airport,Norfolk,Virginia,US
ORH,Worcester Regional Airport,Worcester,Massachusetts,US
ORI,Port Lions Airport,Port Lions,Alaska,US
ORL,Executive Airport,Orlando,Florida,US
ESD,Orcas Island Airport,Eastsound,Washington,US
MPS,Mount Pleasant Regional Airport,Mount Pleasant,Texas,US
OSC,Oscoda/Wurtsmith Airport,Oscoda,Michigan,US
OSH,Wittman Regional Airport,Oshkosh,Wisconsin,US
OSU,Ohio State University Airport,Columbus,Ohio,US
OSX,Kosciusko-Attala County Airport,Kosciusko,Mississippi,US
OTG,Worthington Municipal Airport,Worthington,Minnesota,US
OTH,Southwest Oregon Regional Airport,North Bend,Oregon,US
OTM,Ottumwa Regional Airport,Ottumwa,Iowa,US
OUN,University Of Oklahoma Westheimer Airport,Norman,Oklahoma,US
OVE,Oroville Municipal Airport,Oroville,California,US
OWA,Owatonna Degner Regional Airport,Owatonna,Minnesota,US
OWB,Owensboro/Daviess County Regional Airport,Owensboro,Kentucky,US
OWD,Norwood Memorial Airport,Norwood,Massachusetts,US
OWK,Central Maine/Norridgewock Airport,Norridgewock,Maine,US
OCE,Ocean City Municipal Airport,Ocean City,Maryland,US
OXC,Waterbury-Oxford Airport,Oxford,Connecticut,US
OXD,Miami University Airport,Oxford,Ohio,US
OXR,Oxnard Airport,Oxnard,California,US
STQ,St Marys Municipal Airport,St Marys,Pennsylvania,US
OZA,Ozona Municipal Airport,Ozona,Texas,US
OZR,Cairns Army Air Field (Fort Novosel) Airport,Fort Novosel (Ozark),Alabama,US
BSQ,Bisbee Municipal Airport,Bisbee,Arizona,US
PXL,Polacca Airport,Polacca,Arizona,US
GLB,San Carlos Apache Airport,Globe,Arizona,US
HBK,Holbrook Municipal Airport,Holbrook,Arizona,US
CWX,Cochise County Airport,Willcox,Arizona,US
CTW,Cottonwood Airport,Cottonwood,Arizona,US
PAE,Seattle Paine Field International Airport,Everett,Washington,US
PAH,Barkley Regional Airport,Paducah,Kentucky,US
PAM,Tyndall Afb Airport,Panama City,Florida,US
PJB,Payson Airport,Payson,Arizona,US
PAO,Palo Alto Airport,Palo Alto,California,US
PBF,Pinebluff Regional/Grider Field,Pine Bluff,Arkansas,US
PBG,Plattsburgh International Airport,Plattsburgh,New York,US
PBI,Palm Beach International Airport,West Palm Beach,Florida,US
PVL,Pike County/Hatcher Field,Pikeville,Kentucky,US
PCD,Prairie Du Chien Municipal Airport,Prairie Du Chien,Wisconsin,US
PDK,Dekalb-Peachtree Airport,Atlanta,Georgia,US
PDT,Eastern Oregon Regional At Pendleton Airport,Pendleton,Oregon,US
PDX,Portland International Airport,Portland,Oregon,US
PEQ,Pecos Municipal Airport,Pecos,Texas,US
PFC,Pacific City State Airport,Pacific City,Oregon,US
PGA,Page Municipal Airport,Page,Arizona,US
PGD,Punta Gorda Airport,Punta Gorda,Florida,US
PGM,Port Graham Airport,Port Graham,Alaska,US
PGR,Kirk Field,Paragould,Arkansas,US
PGV,Pitt-Greenville Airport,Greenville,North Carolina,US
PHD,Harry Clever Field,New Philadelphia,Ohio,US
PHF,Newport News/Williamsburg International Airport,Newport News,Virginia,US
ADR,Robert F Swinnie Airport,Andrews,South Carolina,US
PHK,Palm Beach County Glades Airport,Pahokee,Florida,US
PHL,Philadelphia International Airport,Philadelphia,Pennsylvania,US
PHN,St Clair County International Airport,Port Huron,Michigan,US
PHP,Philip Airport,Philip,South Dakota,US
PHT,Henry County Airport,Paris,Tennessee,US
PHX,Phoenix Sky Harbor International Airport,Phoenix,Arizona,US
PIA,General Downing - Peoria International Airport,Peoria,Illinois,US
PIB,Hattiesburg/Laurel Regional Airport,Hattiesburg-Laurel,Mississippi,US
PIE,St Pete-Clearwater International Airport,St Petersburg-Clearwater,Florida,US
PIH,Pocatello Regional Airport,Pocatello,Idaho,US
PIM,Harris County Airport,Pine Mountain,Georgia,US
PIR,Pierre Regional Airport,Pierre,South Dakota,US
PIT,Pittsburgh International Airport,Pittsburgh,Pennsylvania,US
PKB,Mid-Ohio Valley Regional Airport,Parkersburg,West Virginia,US
PKD,Park Rapids Municipal/Konshok Field,Park Rapids,Minnesota,US
PKF,Park Falls Municipal Airport,Park Falls,Wisconsin,US
PLK,M Graham Clark Downtown Airport,Branson,Missouri,US
PLN,Pellston Regional/Emmet County Airport,Pellston,Michigan,US
PLR,St Clair County Airport,Pell City,Alabama,US
PMB,Pembina Municipal Airport,Pembina,North Dakota,US
PMD,Palmdale Usaf Plant 42 Airport,Palmdale,California,US
PMH,Greater Portsmouth Regional Airport,Portsmouth,Ohio,US
PPM,Pompano Beach Airpark,Pompano Beach,Florida,US
PWY,Ralph Wenz Field,Pinedale,Wyoming,US
PNC,Ponca City Regional Airport,Ponca City,Oklahoma,US
PNE,Northeast Philadelphia Airport,Philadelphia,Pennsylvania,US
PNN,Princeton Municipal Airport,Princeton,Maine,US
PNS,Pensacola International Airport,Pensacola,Florida,US
POB,Pope Army Air Field,Fayetteville,North Carolina,US
POC,Brackett Field,La Verne,California,US
POE,Maks Army Air Field,Fort Polk,Louisiana,US
POF,Poplar Bluff Regional Business Airport,Poplar Bluff,Missouri,US
POH,Pocahontas Municipal Airport,Pocahontas,Iowa,US
POU,Hudson Valley Regional Airport,Poughkeepsie,New York,US
POY,Powell Municipal Airport,Powell,Wyoming,US
PPA,Perry Lefors Field,Pampa,Texas,US
PPF,Tri-City Airport,Parsons,Kansas,US
